DDI-MedLine.d62.s3|179-186|spectrin|drug
DDI-DrugBank.d287.s0|0-9|Cevimeline|drug
DDI-DrugBank.d287.s0|71-92|adrenergic antagonists|group
DDI-DrugBank.d287.s1|0-4|Drugs|group
DDI-DrugBank.d287.s1|70-79|cevimeline|drug
DDI-DrugBank.d287.s2|0-9|Cevimeline|drug
DDI-DrugBank.d287.s2|68-72|drugs|group
DDI-DrugBank.d287.s3|0-4|Drugs|group
DDI-DrugBank.d287.s3|71-80|cevimeline|drug
DDI-DrugBank.d287.s4|0-9|Cevimeline|drug
DDI-DrugBank.d287.s5|22-36|cytochrome P450|drug
DDI-DrugBank.d287.s5|120-129|cevimeline|drug
DDI-DrugBank.d255.s0|29-40|interactions|group
DDI-DrugBank.d255.s0|47-58|chlorambucil|drug
DDI-DrugBank.d110.s0|28-37|anesthetic|brand
DDI-DrugBank.d110.s0|60-70|epinephrine|drug
DDI-DrugBank.d110.s0|75-88|norepinephrine|drug
DDI-DrugBank.d110.s0|112-139|monoamine oxidase inhibitors|group
DDI-DrugBank.d110.s0|152-166|antidepressants|group
DDI-DrugBank.d110.s0|171-184|phenothiazines|group
DDI-DrugBank.d110.s1|24-29|agents|group
DDI-DrugBank.d110.s2|3-12|situations|group
DDI-DrugBank.d110.s3|41-45|drugs|group
DDI-DrugBank.d110.s3|134-138|drugs|group
DDI-DrugBank.d110.s4|41-54|chloroprocaine|drug
DDI-DrugBank.d110.s4|79-90|sulfonamides|group
DDI-DrugBank.d110.s5|11-24|chloroprocaine|drug
DDI-DrugBank.d429.s0|0-7|Antacids|group
DDI-DrugBank.d429.s0|13-18|kaolin|drug
DDI-DrugBank.d429.s0|21-28|Antacids|group
DDI-DrugBank.d429.s0|34-39|kaolin|drug
DDI-DrugBank.d429.s0|66-76|chloroquine|drug
DDI-DrugBank.d429.s1|56-61|agents|group
DDI-DrugBank.d429.s1|67-77|chloroquine|drug
DDI-DrugBank.d429.s2|0-9|Cimetidine|drug
DDI-DrugBank.d429.s2|12-21|Cimetidine|drug
DDI-DrugBank.d429.s2|53-63|chloroquine|drug
DDI-DrugBank.d429.s3|19-28|cimetidine|drug
DDI-DrugBank.d429.s4|0-9|Ampicillin|drug
DDI-DrugBank.d429.s4|46-56|chloroquine|drug
DDI-DrugBank.d429.s4|103-112|ampicillin|drug
DDI-DrugBank.d429.s5|57-61|agent|group
DDI-DrugBank.d429.s5|67-77|chloroquine|drug
DDI-DrugBank.d429.s6|35-45|chloroquine|drug
DDI-DrugBank.d429.s6|81-85|serum|group
DDI-DrugBank.d429.s7|31-35|serum|group
DDI-DrugBank.d429.s7|89-99|chloroquine|drug
DDI-DrugBank.d446.s0|0-15|Chlorotrianisene|drug
DDI-DrugBank.d446.s0|35-49|antidepressants|group
DDI-DrugBank.d446.s0|52-58|aspirin|brand
DDI-DrugBank.d446.s0|61-72|barbiturates|group
DDI-DrugBank.d446.s0|75-87|bromocriptine|drug
DDI-DrugBank.d446.s0|90-96|calcium|drug
DDI-DrugBank.d446.s0|111-125|corticosteroids|group
DDI-DrugBank.d446.s0|128-140|corticotropin|drug
DDI-DrugBank.d446.s0|143-154|cyclosporine|drug
DDI-DrugBank.d446.s0|157-166|dantrolene|drug
DDI-DrugBank.d446.s0|169-176|nicotine|drug
DDI-DrugBank.d446.s0|191-199|tamoxifen|drug
DDI-DrugBank.d446.s0|206-213|warfarin|drug
DDI-DrugBank.d245.s0|70-74|drugs|group
DDI-DrugBank.d245.s0|99-122|anti-inflammatory agents|group
DDI-DrugBank.d245.s0|134-138|drugs|group
DDI-DrugBank.d245.s0|171-181|salicylates|group
DDI-DrugBank.d245.s0|184-195|sulfonamides|group
DDI-DrugBank.d245.s0|198-212|chloramphenicol|drug
DDI-DrugBank.d245.s0|215-224|probenecid|drug
DDI-DrugBank.d245.s0|227-235|coumarins|group
DDI-DrugBank.d245.s0|238-265|monoamine oxidase inhibitors|group
DDI-DrugBank.d245.s0|297-302|agents|group
DDI-DrugBank.d245.s1|10-14|drugs|group
DDI-DrugBank.d245.s1|56-64|DIABINESE|brand
DDI-DrugBank.d245.s2|10-14|drugs|group
DDI-DrugBank.d245.s2|55-63|DIABINESE|brand
DDI-DrugBank.d245.s2|117-123|control|brand
DDI-DrugBank.d245.s3|8-12|drugs|group
DDI-DrugBank.d245.s3|68-74|control|brand
DDI-DrugBank.d245.s4|6-10|drugs|group
DDI-DrugBank.d245.s4|24-32|thiazides|group
DDI-DrugBank.d245.s4|44-52|diuretics|group
DDI-DrugBank.d245.s4|55-69|corticosteroids|group
DDI-DrugBank.d245.s4|72-85|phenothiazines|group
DDI-DrugBank.d245.s4|88-103|thyroid products|group
DDI-DrugBank.d245.s4|106-114|estrogens|group
DDI-DrugBank.d245.s4|122-135|contraceptives|group
DDI-DrugBank.d245.s4|138-146|phenytoin|drug
DDI-DrugBank.d245.s4|149-162|nicotinic acid|drug
DDI-DrugBank.d245.s4|165-180|sympathomimetics|group
DDI-DrugBank.d245.s4|183-189|calcium|drug
DDI-DrugBank.d245.s4|208-212|drugs|group
DDI-DrugBank.d245.s4|219-227|isoniazid|drug
DDI-DrugBank.d245.s5|10-14|drugs|group
DDI-DrugBank.d245.s5|56-64|DIABINESE|brand
DDI-DrugBank.d245.s5|118-124|control|brand
DDI-DrugBank.d245.s6|10-14|drugs|group
DDI-DrugBank.d245.s6|55-63|DIABINESE|brand
DDI-DrugBank.d245.s7|48-59|barbiturates|group
DDI-DrugBank.d245.s7|94-107|chlorpropamide|drug
DDI-DrugBank.d245.s7|110-121|barbiturates|group
DDI-DrugBank.d245.s8|81-87|alcohol|brand
DDI-DrugBank.d245.s9|37-46|miconazole|drug
DDI-DrugBank.d245.s9|70-75|agents|group
DDI-DrugBank.d245.s10|79-90|preparations|group
DDI-DrugBank.d245.s10|95-104|miconazole|drug
DDI-DrugBank.d171.s0|0-6|Tagamet|brand
DDI-DrugBank.d171.s0|144-157|anticoagulants|group
DDI-DrugBank.d171.s0|160-168|phenytoin|drug
DDI-DrugBank.d171.s0|171-181|propranolol|drug
DDI-DrugBank.d171.s0|184-193|nifedipine|drug
DDI-DrugBank.d171.s0|196-211|chlordiazepoxide|drug
DDI-DrugBank.d171.s0|214-221|diazepam|drug
DDI-DrugBank.d171.s0|242-256|antidepressants|group
DDI-DrugBank.d171.s0|259-267|lidocaine|drug
DDI-DrugBank.d171.s0|270-281|theophylline|drug
DDI-DrugBank.d171.s0|287-299|metronidazole|drug
DDI-DrugBank.d171.s0|346-350|blood|group
DDI-DrugBank.d171.s0|368-372|drugs|group
DDI-DrugBank.d171.s1|59-66|warfarin|drug
DDI-DrugBank.d171.s2|31-41|prothrombin|drug
DDI-DrugBank.d171.s2|86-98|anticoagulant|group
DDI-DrugBank.d171.s2|127-133|Tagamet|brand
DDI-DrugBank.d171.s3|17-25|phenytoin|drug
DDI-DrugBank.d171.s3|28-36|lidocaine|drug
DDI-DrugBank.d171.s3|42-53|theophylline|drug
DDI-DrugBank.d171.s4|64-74|Tagamet 300|brand
DDI-DrugBank.d171.s4|146-157|theophylline|drug
DDI-DrugBank.d171.s4|243-254|theophylline|drug
DDI-DrugBank.d171.s4|261-265|serum|group
DDI-DrugBank.d171.s4|295-301|regimen|brand
DDI-DrugBank.d171.s6|30-41|theophylline|drug
DDI-DrugBank.d171.s7|14-18|drugs|group
DDI-DrugBank.d171.s7|68-72|drugs|group
DDI-DrugBank.d171.s7|101-111|therapeutic|brand
DDI-DrugBank.d171.s7|248-254|Tagamet|brand
DDI-DrugBank.d171.s7|259-266|maintain|brand
DDI-DrugBank.d171.s7|276-286|therapeutic|brand
DDI-DrugBank.d171.s8|14-15|pH|drug
DDI-DrugBank.d171.s8|50-54|drugs|group
DDI-DrugBank.d171.s8|63-74|ketoconazole|drug
DDI-DrugBank.d171.s9|9-16|products|group
DDI-DrugBank.d171.s9|75-84|cimetidine|drug
DDI-DrugBank.d171.s10|48-52|drugs|group
DDI-DrugBank.d171.s10|100-106|Tagamet|brand
DDI-DrugBank.d237.s0|0-8|Cisapride|drug
DDI-DrugBank.d237.s0|40-58|cytochrome P450 3A4|drug
DDI-DrugBank.d237.s1|113-121|cisapride|drug
DDI-DrugBank.d237.s1|164-182|cytochrome P450 3A4|drug
DDI-DrugBank.d237.s1|205-209|blood|group
DDI-DrugBank.d237.s2|0-10|Antibiotics|group
DDI-DrugBank.d237.s2|52-65|clarithromycin|drug
DDI-DrugBank.d237.s2|68-79|erythromycin|drug
DDI-DrugBank.d237.s2|86-99|troleandomycin|drug
DDI-DrugBank.d237.s2|136-144|cisapride|drug
DDI-DrugBank.d237.s2|189-197|cisapride|drug
DDI-DrugBank.d237.s3|0-15|Anticholinergics|group
DDI-DrugBank.d237.s3|90-109|belladonna alkaloids|group
DDI-DrugBank.d237.s3|115-125|dicyclomine|drug
DDI-DrugBank.d237.s3|186-194|cisapride|drug
DDI-DrugBank.d237.s4|0-13|Anticoagulants|group
DDI-DrugBank.d237.s4|50-63|anticoagulants|group
DDI-DrugBank.d237.s5|49-57|the first|brand
DDI-DrugBank.d237.s5|78-82|start|drug
DDI-DrugBank.d237.s5|107-115|cisapride|drug
DDI-DrugBank.d237.s5|164-176|anticoagulant|group
DDI-DrugBank.d237.s6|0-14|Antidepressants|group
DDI-DrugBank.d237.s6|45-54|nefazodone|drug
DDI-DrugBank.d237.s6|83-91|cisapride|drug
DDI-DrugBank.d237.s6|136-144|cisapride|drug
DDI-DrugBank.d237.s7|0-10|Antifungals|group
DDI-DrugBank.d237.s7|56-66|fluconazole|drug
DDI-DrugBank.d237.s7|69-80|itraconazole|drug
DDI-DrugBank.d237.s7|92-103|ketoconazole|drug
DDI-DrugBank.d237.s7|140-148|cisapride|drug
DDI-DrugBank.d237.s7|193-201|cisapride|drug
DDI-DrugBank.d237.s8|46-57|ketoconazole|drug
DDI-DrugBank.d237.s8|95-103|cisapride|drug
DDI-DrugBank.d237.s8|156-164|cisapride|drug
DDI-DrugBank.d237.s9|82-90|cisapride|drug
DDI-DrugBank.d237.s9|96-107|ketoconazole|drug
DDI-DrugBank.d237.s10|12-22|Antagonists|group
DDI-DrugBank.d237.s10|25-34|Cimetidine|drug
DDI-DrugBank.d237.s10|112-120|cisapride|drug
DDI-DrugBank.d237.s10|145-153|cisapride|drug
DDI-DrugBank.d237.s10|197-206|ranitidine|drug
DDI-DrugBank.d237.s11|35-44|cimetidine|drug
DDI-DrugBank.d237.s11|50-59|ranitidine|drug
DDI-DrugBank.d237.s11|110-118|cisapride|drug
DDI-DrugBank.d237.s12|0-18|Protease Inhibitors|group
DDI-DrugBank.d237.s12|49-57|indinavir|drug
DDI-DrugBank.d237.s12|63-71|ritonavir|drug
DDI-DrugBank.d237.s12|108-116|cisapride|drug
DDI-DrugBank.d237.s12|160-168|cisapride|drug
DDI-DrugBank.d237.s13|27-36|grapefruit|drug
DDI-DrugBank.d237.s13|49-57|cisapride|drug
DDI-DrugBank.d237.s13|92-100|cisapride|drug
DDI-DrugBank.d237.s14|0-8|Cisapride|drug
DDI-DrugBank.d237.s14|54-58|drugs|group
DDI-DrugBank.d237.s14|69-75|prolong|brand
DDI-DrugBank.d237.s14|102-116|antiarrhythmics|group
DDI-DrugBank.d237.s14|156-164|quinidine|drug
DDI-DrugBank.d237.s14|170-181|procainamide|drug
DDI-DrugBank.d237.s14|207-213|sotalol|drug
DDI-DrugBank.d237.s15|10-24|antidepressants|group
DDI-DrugBank.d237.s15|35-47|amitriptyline|drug
DDI-DrugBank.d237.s16|20-34|antidepressants|group
DDI-DrugBank.d237.s16|45-55|maprotiline|drug
DDI-DrugBank.d237.s17|22-32|medications|group
DDI-DrugBank.d237.s17|43-52|sertindole|drug
DDI-DrugBank.d237.s18|0-9|astemizole|drug
DDI-DrugBank.d237.s18|12-19|bepridil|drug
DDI-DrugBank.d237.s18|22-33|sparfloxacin|drug
DDI-DrugBank.d237.s18|40-49|terodiline|drug
DDI-DrugBank.d237.s19|23-27|drugs|group
DDI-DrugBank.d237.s20|40-48|cisapride|drug
DDI-DrugBank.d237.s20|95-99|drugs|group
DDI-DrugBank.d237.s21|26-36|therapeutic|brand
DDI-DrugBank.d237.s21|44-48|drugs|group
DDI-DrugBank.d237.s21|59-63|drugs|group
DDI-DrugBank.d464.s0|0-6|Codeine|drug
DDI-DrugBank.d464.s0|43-52|analgesics|group
DDI-DrugBank.d464.s0|63-73|anesthetics|group
DDI-DrugBank.d464.s0|76-89|phenothiazines|group
DDI-DrugBank.d464.s0|92-104|tranquilizers|group
DDI-DrugBank.d464.s0|107-124|sedative-hypnotics|group
DDI-DrugBank.d464.s0|140-150|depressants|group
DDI-DrugBank.d464.s0|163-169|alcohol|brand
DDI-DrugBank.d464.s0|185-194|depressant|group
DDI-DrugBank.d464.s2|63-68|agents|group
DDI-DrugBank.d250.s0|14-24|antibiotics|group
DDI-DrugBank.d250.s0|27-41|aminoglycosides|group
DDI-DrugBank.d250.s1|77-99|Coly-Mycin M Parenteral|brand
DDI-DrugBank.d250.s2|11-26|muscle relaxants|group
DDI-DrugBank.d250.s2|33-44|tubocurarine|drug
DDI-DrugBank.d250.s2|57-61|drugs|group
DDI-DrugBank.d250.s2|81-95|succinylcholine|drug
DDI-DrugBank.d250.s2|98-106|gallamine|drug
DDI-DrugBank.d250.s2|109-121|decamethonium|drug
DDI-DrugBank.d250.s2|127-140|sodium citrate|drug
DDI-DrugBank.d250.s2|259-281|Coly-Mycin M Parenteral|brand
DDI-DrugBank.d250.s3|0-5|Sodium|group
DDI-DrugBank.d250.s3|53-75|Coly-Mycin M Parenteral|brand
DDI-DrugBank.d250.s4|23-28|sodium|group
DDI-DrugBank.d250.s4|46-68|Coly-Mycin M Parenteral|brand
DDI-DrugBank.d317.s1|12-22|prothrombin|drug
DDI-DrugBank.d317.s3|54-62|coagulant|group
DDI-DrugBank.d317.s4|39-54|antithrombin III|group
DDI-DrugBank.d317.s4|67-82|antithrombin III|group
DDI-DrugBank.d317.s5|20-29|fibrinogen|group
DDI-DrugBank.d317.s5|35-44|fibrinogen|group
DDI-DrugBank.d317.s6|10-20|plasminogen|drug
DDI-DrugBank.d317.s8|87-93|thyroid|brand
DDI-DrugBank.d317.s8|139-144|iodine|drug
DDI-DrugBank.d317.s9|3-7|resin|group
DDI-DrugBank.d317.s10|20-33|concentrations|group
DDI-DrugBank.d317.s11|12-18|thyroid|brand
DDI-DrugBank.d317.s11|68-74|thyroid|brand
DDI-DrugBank.d317.s13|14-21|proteins|group
DDI-DrugBank.d317.s13|42-46|serum|group
DDI-DrugBank.d317.s13|56-69|corticosteroid|group
DDI-DrugBank.d317.s13|171-185|corticosteroids|group
DDI-DrugBank.d317.s13|195-202|steroids|group
DDI-DrugBank.d317.s14|13-26|concentrations|group
DDI-DrugBank.d317.s15|13-20|proteins|group
DDI-DrugBank.d317.s15|73-91|alpha-1-antitrypsin|drug
DDI-DrugBank.d317.s15|94-106|ceruloplasmin|drug
DDI-DrugBank.d317.s17|30-40|cholesterol|drug
DDI-DrugBank.d317.s17|54-67|concentrations|group
DDI-DrugBank.d317.s17|82-92|cholesterol|drug
DDI-DrugBank.d317.s19|9-15|glucose|group
DDI-DrugBank.d317.s21|20-29|metyrapone|drug
DDI-DrugBank.d439.s0|0-12|Corticotropin|drug
DDI-DrugBank.d439.s0|66-73|diuretic|group
DDI-DrugBank.d101.s0|20-28|digitoxin|drug
DDI-DrugBank.d101.s1|32-38|digoxin|drug
DDI-DrugBank.d101.s2|19-27|digitoxin|drug
DDI-DrugBank.d101.s3|5-15|flucytosine|drug
DDI-DrugBank.d185.s0|65-70|ACZONE|brand
DDI-DrugBank.d185.s0|133-161|trimethoprim/sulfamethoxazole|drug
DDI-DrugBank.d185.s2|40-46|dapsone|drug
DDI-DrugBank.d185.s4|20-30|medications|group
DDI-DrugBank.d185.s4|41-48|rifampin|brand
DDI-DrugBank.d185.s4|51-65|anticonvulsants|group
DDI-DrugBank.d185.s5|43-49|dapsone|drug
DDI-DrugBank.d185.s5|82-88|dapsone|drug
DDI-DrugBank.d185.s6|10-16|dapsone|drug
DDI-DrugBank.d185.s6|29-50|folic acid antagonists|group
DDI-DrugBank.d185.s6|60-72|pyrimethamine|drug
DDI-DrugBank.d69.s0|7-16|Cerubidine|brand
DDI-DrugBank.d69.s0|59-69|doxorubicin|drug
DDI-DrugBank.d69.s1|0-9|Cerubidine|brand
DDI-DrugBank.d69.s1|115-125|doxorubicin|drug
DDI-DrugBank.d69.s1|130-139|Cerubidine|brand
DDI-DrugBank.d69.s2|0-15|Cyclophosphamide|drug
DDI-DrugBank.d69.s2|40-49|Cerubidine|brand
DDI-DrugBank.d69.s3|20-29|Cerubidine|brand
DDI-DrugBank.d69.s3|81-103|myelosuppressive agents|group
DDI-DrugBank.d69.s4|12-22|medications|group
DDI-DrugBank.d69.s4|43-54|methotrexate|drug
DDI-DrugBank.d69.s4|68-81|liver function|group
DDI-DrugBank.d197.s0|109-120|interactions|group
DDI-DrugBank.d197.s1|0-38|Anesthetics/Sedatives/Hypnotics/Opioids|group
DDI-DrugBank.d197.s1|62-69|PRECEDEX|brand
DDI-DrugBank.d197.s1|76-86|anesthetics|group
DDI-DrugBank.d197.s1|89-97|sedatives|group
DDI-DrugBank.d197.s1|100-108|hypnotics|group
DDI-DrugBank.d197.s1|115-121|opioids|group
DDI-DrugBank.d197.s2|51-61|sevoflurane|drug
DDI-DrugBank.d197.s2|64-73|isoflurane|drug
DDI-DrugBank.d197.s2|76-83|propofol|drug
DDI-DrugBank.d197.s2|86-95|alfentanil|drug
DDI-DrugBank.d197.s2|102-110|midazolam|drug
DDI-DrugBank.d197.s3|19-30|interactions|group
DDI-DrugBank.d197.s3|40-54|dexmedetomidine|drug
DDI-DrugBank.d197.s3|60-69|isoflurane|drug
DDI-DrugBank.d197.s3|72-79|propofol|drug
DDI-DrugBank.d197.s3|82-91|alfentanil|drug
DDI-DrugBank.d197.s3|98-106|midazolam|drug
DDI-DrugBank.d197.s4|41-52|interactions|group
DDI-DrugBank.d197.s4|81-88|PRECEDEX|brand
DDI-DrugBank.d197.s4|116-123|PRECEDEX|brand
DDI-DrugBank.d197.s4|144-153|anesthetic|brand
DDI-DrugBank.d197.s5|14-21|Blockers|group
DDI-DrugBank.d197.s5|81-88|PRECEDEX|brand
DDI-DrugBank.d197.s5|254-263|rocuronium|drug
DDI-DrugBank.d181.s0|0-7|Oxytocin|drug
DDI-DrugBank.d181.s0|49-57|dinoprost|drug
DDI-DrugBank.d181.s1|9-20|combinations|group
DDI-DrugBank.d181.s1|45-55|therapeutic|brand
DDI-DrugBank.d168.s0|28-34|alcohol|brand
DDI-DrugBank.d168.s0|49-59|depressants|group
DDI-DrugBank.d168.s0|85-94|depressant|group
DDI-DrugBank.d168.s0|120-130|medications|group
DDI-DrugBank.d168.s0|135-148|antihistamines|group
DDI-DrugBank.d168.s0|152-167|anticholinergics|group
DDI-DrugBank.d168.s0|178-188|medications|group
DDI-DrugBank.d168.s0|275-285|medications|group
DDI-DrugBank.d168.s0|314-327|antihistamines|group
DDI-DrugBank.d168.s0|335-351|monoamine oxidase|drug
DDI-DrugBank.d168.s0|359-368|inhibitors|group
DDI-DrugBank.d168.s0|391-404|antihistamines|group
DDI-DrugBank.d168.s0|410-416|prolong|brand
DDI-DrugBank.d168.s0|460-469|depressant|group
DDI-DrugBank.d168.s0|482-495|antihistamines|group
DDI-DrugBank.d19.s0|0-9|Disulfiram|drug
DDI-DrugBank.d19.s0|57-61|drugs|group
DDI-DrugBank.d19.s0|110-114|blood|group
DDI-DrugBank.d19.s0|167-171|drugs|group
DDI-DrugBank.d19.s1|0-9|DISULFIRAM|drug
DDI-DrugBank.d19.s1|67-75|PHENYTOIN|drug
DDI-DrugBank.d19.s2|68-76|PHENYTOIN|drug
DDI-DrugBank.d19.s2|115-124|DISULFIRAM|drug
DDI-DrugBank.d19.s2|142-150|PHENYTOIN|drug
DDI-DrugBank.d19.s2|172-180|PHENYTOIN|drug
DDI-DrugBank.d19.s3|28-37|DISULFIRAM|drug
DDI-DrugBank.d19.s4|0-4|SERUM|group
DDI-DrugBank.d19.s4|16-24|PHENYTOIN|drug
DDI-DrugBank.d19.s5|10-18|PHENYTOIN|drug
DDI-DrugBank.d19.s6|49-62|anticoagulants|group
DDI-DrugBank.d19.s6|91-100|disulfiram|drug
DDI-DrugBank.d19.s6|109-118|disulfiram|drug
DDI-DrugBank.d19.s6|124-130|prolong|brand
DDI-DrugBank.d19.s7|16-24|isoniazid|drug
DDI-DrugBank.d19.s7|31-40|disulfiram|drug
DDI-DrugBank.d19.s8|4-13|disulfiram|drug
DDI-DrugBank.d19.s9|35-44|disulfiram|drug
DDI-DrugBank.d19.s9|50-56|nitrite|drug
DDI-DrugBank.d19.s9|149-158|disulfiram|drug
DDI-DrugBank.d19.s9|164-168|react|brand
DDI-DrugBank.d19.s9|175-182|nitrites|group
DDI-DrugBank.d19.s10|0-9|Disulfiram|drug
DDI-DrugBank.d371.s0|64-75|interactions|group
DDI-DrugBank.d371.s0|80-87|TAXOTERE|brand
DDI-DrugBank.d371.s0|100-110|medications|group
DDI-DrugBank.d371.s1|51-59|docetaxel|drug
DDI-DrugBank.d371.s1|168-186|cytochrome P450 3A4|drug
DDI-DrugBank.d371.s1|197-208|cyclosporine|drug
DDI-DrugBank.d371.s1|211-221|terfenadine|drug
DDI-DrugBank.d371.s1|224-235|ketoconazole|drug
DDI-DrugBank.d371.s1|238-249|erythromycin|drug
DDI-DrugBank.d371.s1|256-269|troleandomycin|drug
DDI-DrugBank.d371.s2|39-43|drugs|group
DDI-DrugBank.d371.s2|78-85|TAXOTERE|brand
DDI-DrugBank.d367.s0|21-29|doxazosin|drug
DDI-DrugBank.d367.s1|44-61|doxazosin mesylate|drug
DDI-DrugBank.d367.s1|99-105|digoxin|drug
DDI-DrugBank.d367.s1|108-115|warfarin|drug
DDI-DrugBank.d367.s1|118-126|phenytoin|drug
DDI-DrugBank.d367.s1|131-142|indomethacin|drug
DDI-DrugBank.d367.s2|75-79|drugs|group
DDI-DrugBank.d367.s2|84-92|doxazosin|drug
DDI-DrugBank.d367.s3|0-17|Doxazosin mesylate|drug
DDI-DrugBank.d367.s3|124-132|diuretics|group
DDI-DrugBank.d367.s3|149-154|agents|group
DDI-DrugBank.d367.s3|192-196|drugs|group
DDI-DrugBank.d367.s4|96-104|doxazosin|drug
DDI-DrugBank.d367.s4|129-135|regimen|brand
DDI-DrugBank.d367.s4|145-154|cimetidine|drug
DDI-DrugBank.d367.s4|219-227|doxazosin|drug
DDI-DrugBank.d367.s4|331-339|doxazosin|drug
DDI-DrugBank.d367.s5|46-54|doxazosin|drug
DDI-DrugBank.d367.s6|20-37|doxazosin mesylate|drug
DDI-DrugBank.d367.s6|110-120|medications|group
DDI-DrugBank.d367.s7|60-71|interactions|group
DDI-DrugBank.d367.s8|0-17|Doxazosin mesylate|drug
DDI-DrugBank.d367.s8|61-65|drugs|group
DDI-DrugBank.d367.s9|35-47|acetaminophen|drug
DDI-DrugBank.d367.s9|50-56|aspirin|brand
DDI-DrugBank.d367.s9|59-65|codeine|drug
DDI-DrugBank.d367.s9|71-77|codeine|drug
DDI-DrugBank.d367.s9|93-101|ibuprofen|drug
DDI-DrugBank.d367.s9|104-115|indomethacin|drug
DDI-DrugBank.d367.s11|0-10|Antibiotics|group
DDI-DrugBank.d367.s11|19-30|erythromycin|drug
DDI-DrugBank.d367.s11|33-44|trimethoprim|drug
DDI-DrugBank.d367.s11|50-65|sulfamethoxazole|drug
DDI-DrugBank.d367.s11|68-78|amoxicillin|drug
DDI-DrugBank.d367.s13|0-13|Antihistamines|group
DDI-DrugBank.d367.s13|22-37|chlorpheniramine|drug
DDI-DrugBank.d367.s15|0-20|Cardiovascular agents|group
DDI-DrugBank.d367.s15|29-36|atenolol|drug
DDI-DrugBank.d367.s15|39-57|hydrochlorothiazide|drug
DDI-DrugBank.d367.s15|60-70|propranolol|drug
DDI-DrugBank.d367.s17|0-14|Corticosteroids|group
DDI-DrugBank.d367.s19|0-22|Gastrointestinal agents|group
DDI-DrugBank.d367.s19|31-38|antacids|group
DDI-DrugBank.d367.s21|0-12|Hypoglycemics|group
DDI-DrugBank.d367.s21|28-32|drugs|group
DDI-DrugBank.d367.s23|0-8|Sedatives|group
DDI-DrugBank.d367.s23|14-26|tranquilizers|group
DDI-DrugBank.d367.s23|35-42|diazepam|drug
DDI-DrugBank.d367.s25|0-11|Cold and flu|brand
DDI-DrugBank.d223.s0|0-4|Drugs|group
DDI-DrugBank.d223.s0|21-24|P450|drug
DDI-DrugBank.d223.s0|89-107|cytochrome P450 2D6|drug
DDI-DrugBank.d223.s0|232-243|metabolizers|group
DDI-DrugBank.d223.s1|48-51|P450|drug
DDI-DrugBank.d223.s1|105-115|populations|group
DDI-DrugBank.d223.s2|5-16|metabolizers|group
DDI-DrugBank.d223.s2|51-64|concentrations|group
DDI-DrugBank.d223.s2|79-93|antidepressants|group
DDI-DrugBank.d223.s2|96-99|TCAs|group
DDI-DrugBank.d223.s3|49-52|P450|drug
DDI-DrugBank.d223.s3|163-165|TCA|group
DDI-DrugBank.d223.s4|21-25|drugs|group
DDI-DrugBank.d223.s4|80-91|metabolizers|group
DDI-DrugBank.d223.s4|107-118|metabolizers|group
DDI-DrugBank.d223.s5|47-49|TCA|group
DDI-DrugBank.d223.s5|112-116|drugs|group
DDI-DrugBank.d223.s6|4-8|drugs|group
DDI-DrugBank.d223.s6|23-41|cytochrome P450 2D6|drug
DDI-DrugBank.d223.s6|96-104|quinidine|drug
DDI-DrugBank.d223.s7|0-9|cimetidine|drug
DDI-DrugBank.d223.s7|30-39|substrates|group
DDI-DrugBank.d223.s7|45-48|P450|drug
DDI-DrugBank.d223.s7|66-80|antidepressants|group
DDI-DrugBank.d223.s7|83-96|phenothiazines|group
DDI-DrugBank.d223.s7|115-129|antiarrhythmics|group
DDI-DrugBank.d223.s7|147-156|flecainide|drug
DDI-DrugBank.d223.s8|14-52|selective serotonin reuptake inhibitors|group
DDI-DrugBank.d223.s8|55-59|SSRIs|group
DDI-DrugBank.d223.s8|69-78|citalopram|drug
DDI-DrugBank.d223.s8|81-92|escitalopram|drug
DDI-DrugBank.d223.s8|95-104|fluoxetine|drug
DDI-DrugBank.d223.s8|107-116|sertraline|drug
DDI-DrugBank.d223.s8|123-132|paroxetine|drug
DDI-DrugBank.d223.s8|143-146|P450|drug
DDI-DrugBank.d223.s9|29-40|interactions|group
DDI-DrugBank.d223.s9|88-93|degree|brand
DDI-DrugBank.d223.s9|117-132|pharmacokinetics|group
DDI-DrugBank.d223.s9|141-144|SSRI|group
DDI-DrugBank.d223.s10|63-66|TCAs|group
DDI-DrugBank.d223.s10|84-88|SSRIs|group
DDI-DrugBank.d223.s10|121-125|class|group
DDI-DrugBank.d223.s11|72-74|TCA|group
DDI-DrugBank.d223.s11|120-129|fluoxetine|drug
DDI-DrugBank.d223.s12|29-43|antidepressants|group
DDI-DrugBank.d223.s12|50-54|drugs|group
DDI-DrugBank.d223.s12|73-91|cytochrome P450 2D6|drug
DDI-DrugBank.d223.s12|166-179|antidepressant|group
DDI-DrugBank.d223.s13|41-45|drugs|group
DDI-DrugBank.d223.s13|108-121|antidepressant|group
DDI-DrugBank.d223.s14|27-29|TCA|group
DDI-DrugBank.d223.s14|56-58|TCA|group
DDI-DrugBank.d223.s14|124-132|inhibitor|group
DDI-DrugBank.d223.s14|137-140|P450|drug
DDI-DrugBank.d223.s15|0-6|Doxepin|drug
DDI-DrugBank.d223.s16|0-9|Inhibitors|group
DDI-DrugBank.d223.s16|14-23|substrates|group
DDI-DrugBank.d223.s16|42-50|quinidine|drug
